per capita income,median household income,median family income,population,number of households,state_nums
34795,70443,79700,137837,49431,4
27749,55909,62237,9893481,3230383,4
35763,72112,88618,1535248,545071,4
32930,76544,86301,829017,267076,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
35763,72112,88618,1535248,545071,4
32930,76544,86301,829017,267076,4
20295,48552,52618,848204,255271,4
32930,76544,86301,829017,267076,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
27749,55909,62237,9893481,3230383,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
26988,49820,62278,18061,7238,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
19072,37909,51470,28357,9593,4
27749,55909,62237,9893481,3230383,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
27749,55909,62237,9893481,3230383,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
27749,55909,62237,9893481,3230383,4
29954,58697,74885,272094,102154,4
29954,58697,74885,272094,102154,4
29954,58697,74885,272094,102154,4
29954,58697,74885,272094,102154,4
29954,58697,74885,272094,102154,4
29954,58697,74885,272094,102154,4
28929,67177,76932,417258,141464,4
21579,52158,56830,21366,6853,4
30352,62779,72602,427288,141720,4
30352,62779,72602,427288,141720,4
30352,62779,72602,427288,141720,4
30352,62779,72602,427288,141720,4
27749,55909,62237,9893481,3230383,4
27347,53684,68593,37422,14262,4
27347,53684,68593,37422,14262,4
27347,53684,68593,37422,14262,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
30668,62962,73495,3138265,1076483,4
19244,44902,50648,72574,24300,4
21663,49297,55432,518321,166883,4
21663,49297,55432,518321,166883,4
21663,49297,55432,518321,166883,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27441,44796,70185,18482,7873,4
27749,55909,62237,9893481,3230383,4
21537,36548,48323,64260,26505,4
27749,55909,62237,9893481,3230383,4
21537,36548,48323,64260,26505,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
21537,36548,48323,64260,26505,4
29806,45794,55183,19586,8997,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
21332,54090,59294,2056915,603879,4
20295,48552,52618,848204,255271,4
18429,48133,50489,151806,40785,4
20295,48552,52618,848204,255271,4
28929,67177,76932,417258,141464,4
22293,37709,47183,44503,19417,4
32346,57353,70148,98509,40991,4
22293,37709,47183,44503,19417,4
22293,37709,47183,44503,19417,4
21332,54090,59294,2056915,603879,4
32295,66519,80899,264808,93504,4
32295,66519,80899,264808,93504,4
21332,54090,59294,2056915,603879,4
32295,66519,80899,264808,93504,4
32295,66519,80899,264808,93504,4
32295,66519,80899,264808,93504,4
32295,66519,80899,264808,93504,4
21200,36212,46268,9468,3983,4
27730,55918,74687,202288,70347,4
27730,55918,74687,202288,70347,4
32835,63356,75896,487469,185660,4
22589,53380,59900,693177,215563,4
22589,53380,59900,693177,215563,4
22589,53380,59900,693177,215563,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
