County,State,per capita income,median household income,median family income,population,number of households,x,y,Has Market,state_nums
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.34222,33.683067,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.2014,33.479733,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.07346,33.458305,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-111.89312,33.69783,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-111.79127,33.354534,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.18619,33.542599,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.36104,33.482525,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.46119,33.460316,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.13451,33.565281,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-112.42946,33.352917,1.0,2
"AZ, Coconino",Arizona,23382,49555,59308,134795,46198,-111.65162,35.199062,1.0,2
"AZ, Yavapai",Arizona,25186,42987,53015,211968,91349,-111.91867,34.718185,1.0,2
"AZ, Coconino",Arizona,23382,49555,59308,134795,46198,-111.22755,36.120033,1.0,2
"AZ, Gila",Arizona,20792,39954,48958,53335,20601,-110.78841,33.396034,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-111.21249,32.45092,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.85326,32.247147,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.85326,32.247166,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.72359,32.127834,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.9857,32.219902000000005,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.95341,32.288429,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.95038999999998,32.406006,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.99345,31.868208000000006,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.94289,32.285614,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.96824,31.969912,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-111.00941,32.31921,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.95224,32.232567,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.94601000000002,32.240124,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.92521,32.188881,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-112.86229,32.372631,1.0,2
"AZ, Pima",Arizona,25269,45841,57757,986891,384041,-110.97563999999998,31.857595,1.0,2
"AZ, Yavapai",Arizona,25186,42987,53015,211968,91349,-112.027,34.745602000000005,1.0,2
"AZ, Navajo",Arizona,16626,36927,43516,107326,34343,-110.03094,34.253494,1.0,2
"AZ, La Paz",Arizona,22200,35776,42729,20408,10221,0.0,0.0,0.0,2
"AZ, Yavapai",Arizona,25186,42987,53015,211968,91349,-112.47948,34.557865,1.0,2
"AZ, Yavapai",Arizona,25186,42987,53015,211968,91349,-112.453,34.546291,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-111.98324,33.331329,1.0,2
"AZ, Graham",Arizona,17168,44943,50583,37168,11031,-109.72,32.834595,1.0,2
"AZ, Yavapai",Arizona,25186,42987,53015,211968,91349,-111.85213,34.564091,1.0,2
"AZ, Gila",Arizona,20792,39954,48958,53335,20601,-111.32766,34.229961,1.0,2
"AZ, Greenlee",Arizona,20516,47992,48074,8679,3386,0.0,0.0,0.0,2
"AZ, Pinal",Arizona,20910,50027,55282,379128,123733,0.0,0.0,0.0,2
"AZ, Santa Cruz",Arizona,17664,37745,41774,47122,15078,-110.93954,31.335533,1.0,2
"AZ, Apache",Arizona,12709,31476,37095,71978,19055,-109.28167,34.132412,1.0,2
"AZ, Mohave",Arizona,20833,39200,47136,201680,80230,-114.05738,35.18972,1.0,2
"AZ, Coconino",Arizona,23382,49555,59308,134795,46198,-111.61287,35.212154,1.0,2
"AZ, Maricopa",Arizona,27256,53596,63910,3889161,1411727,-111.72621,33.321659000000004,1.0,2
"AZ, Yuma",Arizona,18840,41595,44302,199026,70122,0.0,0.0,0.0,2
"AR, Sharp",Arkansas,16714,30861,40550,17203,7023,-91.528709,36.30901,1.0,3
"AR, Carroll",Arkansas,20637,36584,46669,27531,11019,-93.725632,36.455238,1.0,3
"AR, Sebastian",Arkansas,23222,40471,50511,126536,49294,-94.250565,35.060103999999995,1.0,3
"AR, Sebastian",Arkansas,23222,40471,50511,126536,49294,-94.427994,35.3899,1.0,3
"AR, Grant",Arkansas,23239,49004,58808,17922,6855,0.0,0.0,0.0,3
"AR, Washington County",Arkansas,23264,41248,54190,207911,79214,0.0,0.0,0.0,3
"AR, Cleburne",Arkansas,23044,40246,49059,25856,10286,0.0,0.0,0.0,3
"AR, Sharp",Arkansas,16714,30861,40550,17203,7023,-91.48555,36.315552,1.0,3
"AR, Searcy",Arkansas,16731,30779,39444,8101,3296,0.0,0.0,0.0,3
"AR, Carroll",Arkansas,20637,36584,46669,27531,11019,-93.731705,36.391563,1.0,3
"AR, Prairie",Arkansas,18137,34855,43408,8573,3737,0.0,0.0,0.0,3
"AR, Miller",Arkansas,20636,41319,51790,43515,16950,0.0,0.0,0.0,3
"AR, Carroll",Arkansas,20637,36584,46669,27531,11019,-93.567284,36.364471,1.0,3
"AR, Madison",Arkansas,18754,35771,43373,15671,6048,0.0,0.0,0.0,3
"AR, Cleveland",Arkansas,20622,39420,47576,8648,3346,-92.191917,33.959724,1.0,3
"AR, Garland",Arkansas,23170,39162,48388,96547,39881,-93.057114,34.62999,1.0,3
"AR, Garland",Arkansas,23170,39162,48388,96547,39881,-93.050941,34.504887,1.0,3
"AR, Lee",Arkansas,12529,25034,32986,10267,3491,0.0,0.0,0.0,3
"AR, Van Buren",Arkansas,18782,32517,42607,17147,7063,-92.459023,35.593376,1.0,3
"AR, Polk",Arkansas,19116,32835,38275,20540,8069,-94.236382,34.582939,1.0,3
"AR, Franklin",Arkansas,19135,36766,43053,18063,6769,-94.036316,35.297035,1.0,3
"AR, Pike",Arkansas,18377,32206,37440,11250,4325,0.0,0.0,0.0,3
"AR, Craighead",Arkansas,23138,41393,52466,98398,37834,-90.667328,35.84077100000001,1.0,3
"AR, Benton",Arkansas,26715,54515,61706,227439,82150,-94.541992,36.185772,1.0,3
"AR, St. Francis",Arkansas,15511,30873,34705,27914,9358,0.0,0.0,0.0,3
"AR, Logan",Arkansas,19046,34996,46489,22221,8233,-93.730415,35.292145,1.0,3
"AR, Lonoke",Arkansas,23218,52582,60786,69266,25052,0.0,0.0,0.0,3
"AR, Clay",Arkansas,18509,31502,41121,15790,6814,-90.182877,36.381622,1.0,3
"AR, Logan",Arkansas,19046,34996,46489,22221,8233,-93.921944,35.139122,1.0,3
"AR, Montgomery",Arkansas,19021,31345,39469,9387,3873,0.0,0.0,0.0,3
"AR, White",Arkansas,21793,42487,51449,77767,29632,-91.612396,35.203899,1.0,3
"AR, Woodruff",Arkansas,19087,28259,36902,7180,3070,0.0,0.0,0.0,3
"AR, Lawrence",Arkansas,15971,32239,42457,17227,6580,0.0,0.0,0.0,3
"AR, Baxter",Arkansas,21334,35343,45499,41281,18155,0.0,0.0,0.0,3
"AR, Nevada County",Arkansas,18695,33694,42500,8948,3622,0.0,0.0,0.0,3
"AR, Ouachita",Arkansas,18975,32015,42354,25651,10733,0.0,0.0,0.0,3
"AR, Newton",Arkansas,17884,30038,37243,8211,3507,-93.19252,36.006042,1.0,3
"AR, Boone",Arkansas,22160,38506,47585,37099,15086,-93.107674,36.229794,1.0,3
"AR, Newton",Arkansas,17884,30038,37243,8211,3507,-93.186363,36.008514,1.0,3
"AR, Cross",Arkansas,18701,38085,48100,17760,6818,-90.786179,35.223251,1.0,3
"AR, Scott",Arkansas,18934,37448,42333,11111,4324,0.0,0.0,0.0,3
"AR, Chicot",Arkansas,16538,26201,34451,11621,4510,-91.292969,33.318615,1.0,3
"AR, Independence",Arkansas,20289,35026,44442,36786,14544,0.0,0.0,0.0,3
"AR, Mississippi County",Arkansas,18905,36428,42286,45912,17058,0.0,0.0,0.0,3
"AR, Jackson",Arkansas,15609,30284,38639,17809,6541,-91.234718,35.626801,1.0,3
"AR, Drew",Arkansas,17057,31171,39884,18686,7496,0.0,0.0,0.0,3
"AR, Conway",Arkansas,20040,35225,46002,21235,8154,0.0,0.0,0.0,3
"AR, Howard",Arkansas,18707,35879,40970,13748,5208,-93.8451,33.9426,1.0,3
"AR, Randolph",Arkansas,18871,34418,45492,17896,7244,-90.983391,36.257408,1.0,3
"AR, Clark",Arkansas,17960,32721,48735,22912,8341,0.0,0.0,0.0,3
"AR, Boone",Arkansas,22160,38506,47585,37099,15086,-93.117249,36.247215,1.0,3
"AR, Izard",Arkansas,18040,30661,39717,13560,5682,0.0,0.0,0.0,3
"AR, Saline",Arkansas,25962,55348,66936,109844,41287,0.0,0.0,0.0,3
"AR, Little River",Arkansas,19880,39673,48406,12992,5315,0.0,0.0,0.0,3
"AR, Pope",Arkansas,19918,40453,47074,62248,22603,-93.135468,35.280403,1.0,3
"AR, Phillips",Arkansas,16830,26737,34684,21253,8339,0.0,0.0,0.0,3
"AR, Faulkner",Arkansas,24401,50314,65155,115928,42413,-92.207413,35.083717,1.0,3
"AR, Marion",Arkansas,18188,34494,42333,16605,7036,-92.681717,36.225719,1.0,3
"AR, Benton",Arkansas,26715,54515,61706,227439,82150,-94.225174,36.330894,1.0,3
"AR, Crittenden",Arkansas,19665,37751,48372,50447,18309,0.0,0.0,0.0,3
"AR, Columbia",Arkansas,19439,35128,47472,24512,9449,0.0,0.0,0.0,3
"AR, Benton",Arkansas,26715,54515,61706,227439,82150,-94.208817,36.372349,1.0,3
"AR, Sevier",Arkansas,16021,35153,44267,17137,5745,-94.342133,34.042244000000004,1.0,3
"AR, Stone",Arkansas,17403,29832,39665,12517,5135,-92.117653,35.868408,1.0,3
"AR, Faulkner",Arkansas,24401,50314,65155,115928,42413,-92.412827,35.078644,1.0,3
"AR, Stone",Arkansas,17403,29832,39665,12517,5135,-92.117653,35.868408,1.0,3
"AR, Greene",Arkansas,19652,38413,48011,42580,16603,-90.489777,36.056152,1.0,3
"AR, Hempstead",Arkansas,17376,32056,43407,22509,8296,-93.682899,33.775002,1.0,3
"AR, Poinsett",Arkansas,16919,32089,39616,24403,9369,-90.717651,35.56316,1.0,3
"AR, Monroe",Arkansas,16939,27263,35422,8002,3393,0.0,0.0,0.0,3
"AR, Crawford",Arkansas,19477,39479,46113,61796,23368,-94.344101,35.43679,1.0,3
"AR, Lafayette",Arkansas,17212,29732,38913,7501,2722,-93.577675,33.355446,1.0,3
"AR, Calhoun",Arkansas,17763,30980,44638,5319,2046,0.0,0.0,0.0,3
"AR, Arkansas County",Arkansas,23045,39633,50137,18957,7883,0.0,0.0,0.0,3
"AR, Lincoln",Arkansas,15023,32697,40936,14148,4188,0.0,0.0,0.0,3
"AR, Hempstead",Arkansas,17376,32056,43407,22509,8296,-93.592598,33.667057,1.0,3
"AR, Faulkner",Arkansas,24401,50314,65155,115928,42413,-92.412827,35.078644,1.0,3
"AR, Faulkner",Arkansas,24401,50314,65155,115928,42413,-92.449951,35.091705,1.0,3
"AR, Pulaski",Arkansas,27414,46013,58688,386106,153720,-92.267349,34.757408,1.0,3
"AR, Hot Spring",Arkansas,19286,41193,49541,33182,12231,0.0,0.0,0.0,3
"AR, Desha",Arkansas,19822,28680,39937,12774,5305,0.0,0.0,0.0,3
"AR, Pope",Arkansas,19918,40453,47074,62248,22603,-93.153809,35.28405,1.0,3
"AR, Pulaski",Arkansas,27414,46013,58688,386106,153720,-92.2696,34.743076,1.0,3
"AR, Pulaski",Arkansas,27414,46013,58688,386106,153720,-92.272568,34.73502,1.0,3
"AR, Pulaski",Arkansas,27414,46013,58688,386106,153720,-92.267639,34.759052000000004,1.0,3
"AR, Union",Arkansas,20718,37435,46952,41307,16596,-92.662277,33.210239,1.0,3
"AR, Pulaski",Arkansas,27414,46013,58688,386106,153720,-92.318001,34.757023,1.0,3
"AR, Pulaski",Arkansas,27414,46013,58688,386106,153720,-92.266121,34.747688000000004,1.0,3
"AR, Fulton",Arkansas,19326,35522,41720,12266,5140,0.0,0.0,0.0,3
"AR, Pulaski",Arkansas,27414,46013,58688,386106,153720,-92.345474,34.770332,1.0,3
"AR, Yell",Arkansas,16992,35535,41469,22014,7917,-93.153099,35.22084,1.0,3
"AR, Ashley",Arkansas,19761,35683,45612,21645,8656,0.0,0.0,0.0,3
"AR, Bradley",Arkansas,19386,30409,39659,11418,4789,0.0,0.0,0.0,3
"AR, Perry",Arkansas,22047,42455,50840,10381,3903,-92.798515,34.999825,1.0,3
"AR, Benton",Arkansas,26715,54515,61706,227439,82150,-94.115868,36.33009000000001,1.0,3
